parameter,feature,importance
b,tri_rectification_index,0.011613870667739288
b,tri_linearity_deviation,0.0043712250824019345
b,tri_slope_variation,0.009232760665643347
b,tri_num_inflection_points,0.004941602187403169
b,tri_response_amplitude,0.001809081035370226
b,tri_voltage_gain,0.002797932799528361
b,tri_phase1_gain,0.004556738293182956
b,tri_phase2_gain,0.007622558909483775
b,tri_phase3_gain,0.011516015987172858
b,tri_return_point_deviation,0.012773294575213699
b,tri_loop_closure_error,0.0
b,tri_loop_eccentricity,0.0014224748691959324
b,tri_centroid_v_applied,0.0
b,tri_centroid_v_response,0.004539509644951683
b,tri_smoothness_index,0.007258363828067582
b,tri_oscillation_count,0.00367094736741242
v_scale,step_baseline,0.01768618364263175
v_scale,step_peak_amplitude,0.0053628745434087
v_scale,step_time_to_peak,0.007735701445275012
v_scale,step_peak_to_baseline_ratio,0.0023214863912150783
v_scale,step_half_decay_time,0.022681412222329424
v_scale,step_decay_rate,0.020068863216125235
v_scale,step_area_under_curve,0.011152489156993281
v_scale,step_response_duration,0.023196758647325972
v_scale,step_activation_speed,0.01639970241724572
v_scale,step_latency,0.004925335667259803
v_scale,step_initial_slope,0.008349370810743228
v_scale,step_settling_deviation,0.017693999766851286
v_scale,step_asymmetry_index,0.008285602934663626
v_scale,pp_delay_200_peak1_amplitude,0.0036335207705283897
v_scale,pp_delay_200_peak2_amplitude,0.010281857101105678
v_scale,pp_delay_200_time_to_peak1,0.0011431774957272522
v_scale,pp_delay_200_time_to_peak2,0.012757665887660417
v_scale,pp_delay_200_auc1,0.006215271032700416
v_scale,pp_delay_200_auc2,0.00508907895635176
v_scale,pp_delay_200_peak_width1,0.007451216839432253
v_scale,pp_delay_200_peak_width2,0.017285246084512935
v_scale,pp_delay_200_peak_ratio,0.004358918668036638
v_scale,pp_delay_200_auc_ratio,0.026924842872969902
v_scale,pp_delay_200_latency_change,0.00812124253082035
v_scale,pp_delay_200_width_ratio,0.015523084625923467
v_scale,pp_delay_200_baseline_shift,0.005440686060889361
v_scale,pp_delay_200_recovery_fraction,0.012021216288023117
v_scale,pp_delay_200_effective_ipi,0.010929017394705622
v_scale,pp_delay_200_waveform_correlation,0.023416591653551935
v_scale,pp_delay_200_total_response,0.0041491184608759115
v_scale,pp_delay_200_facilitation_index,0.0062077845447179696
v_scale,pp_delay_800_peak1_amplitude,0.002020590613169565
v_scale,pp_delay_800_peak2_amplitude,0.008805362543910965
v_scale,pp_delay_800_time_to_peak1,0.0028795251125927983
v_scale,pp_delay_800_time_to_peak2,0.003952664849501697
v_scale,pp_delay_800_auc1,0.005880842065477895
v_scale,pp_delay_800_auc2,0.00634705187353998
v_scale,pp_delay_800_peak_width1,0.010657999201106718
v_scale,pp_delay_800_peak_width2,0.013909963186167424
v_scale,pp_delay_800_peak_ratio,0.007048149876848181
v_scale,pp_delay_800_auc_ratio,0.01585090943385904
v_scale,pp_delay_800_latency_change,0.004209485534345464
v_scale,pp_delay_800_width_ratio,0.04069107125860387
v_scale,pp_delay_800_baseline_shift,0.007720479689636175
v_scale,pp_delay_800_recovery_fraction,0.012473980624178559
v_scale,pp_delay_800_effective_ipi,0.005166968985205028
v_scale,pp_delay_800_waveform_correlation,0.016015718472276962
v_scale,pp_delay_800_total_response,0.004893534169427665
v_scale,pp_delay_800_facilitation_index,0.005923267033039071
v_scale,pp_delay_2000_peak1_amplitude,0.0033300498333849685
v_scale,pp_delay_2000_peak2_amplitude,0.007600069477713797
v_scale,pp_delay_2000_time_to_peak1,0.005791638362986532
v_scale,pp_delay_2000_time_to_peak2,0.0031695210090583056
v_scale,pp_delay_2000_auc1,0.007042579427554203
v_scale,pp_delay_2000_auc2,0.011415374639375746
v_scale,pp_delay_2000_peak_width1,0.011103437143484924
v_scale,pp_delay_2000_peak_width2,0.037599274710478095
v_scale,pp_delay_2000_peak_ratio,0.00829242980543033
v_scale,pp_delay_2000_auc_ratio,0.021075545392182083
v_scale,pp_delay_2000_latency_change,0.00409309734562029
v_scale,pp_delay_2000_width_ratio,0.0182076174245271
v_scale,pp_delay_2000_baseline_shift,0.017946946896065696
v_scale,pp_delay_2000_recovery_fraction,0.017160254182742772
v_scale,pp_delay_2000_effective_ipi,0.0037205920127503234
v_scale,pp_delay_2000_waveform_correlation,0.02065195861741193
v_scale,pp_delay_2000_total_response,0.005895568449209148
v_scale,pp_delay_2000_facilitation_index,0.007404851456488004
v_scale,pp_avg_peak_ratio,0.013172779642199404
v_scale,pp_std_peak_ratio,0.01616661834217842
v_scale,pp_avg_facilitation_index,0.01399167243594255
v_scale,pp_recovery_slope,0.011593012199744446
v_scale,tri_total_hysteresis_area,0.008945673086029395
v_scale,tri_pos_hysteresis,0.009818370963050741
v_scale,tri_neg_hysteresis,0.018874441242127275
v_scale,tri_max_hysteresis_width,0.012577978586785919
v_scale,tri_response_at_pos_max,0.007807311148526987
v_scale,tri_response_at_neg_max,0.014543742355512193
v_scale,tri_pos_neg_ratio,0.009036611733500576
v_scale,tri_rectification_index,0.010848276076660496
v_scale,tri_linearity_deviation,0.008408312832438192
v_scale,tri_slope_variation,0.010030819277255534
v_scale,tri_num_inflection_points,0.008083184549270445
v_scale,tri_response_amplitude,0.002991859235735163
v_scale,tri_voltage_gain,0.003178015254757449
v_scale,tri_phase1_gain,0.006437929349539389
v_scale,tri_phase2_gain,0.011978438306325591
v_scale,tri_phase3_gain,0.023248762306965255
v_scale,tri_return_point_deviation,0.01841469516668399
v_scale,tri_loop_closure_error,0.0
v_scale,tri_loop_eccentricity,0.0031847513757650675
v_scale,tri_centroid_v_applied,0.0
v_scale,tri_centroid_v_response,0.008911420836142617
v_scale,tri_smoothness_index,0.010793390094842401
v_scale,tri_oscillation_count,0.00420424476206777
R_off,step_baseline,0.014375087838557765
R_off,step_peak_amplitude,0.0052820030855557885
R_off,step_time_to_peak,0.015890668572064583
R_off,step_peak_to_baseline_ratio,0.005775098300550367
R_off,step_half_decay_time,0.015550990554895727
R_off,step_decay_rate,0.023435119867620452
R_off,step_area_under_curve,0.007836931609486043
R_off,step_response_duration,0.023804319649422773
R_off,step_activation_speed,0.014843230386784298
R_off,step_latency,0.00711631813233445
R_off,step_initial_slope,0.007587632481444491
R_off,step_settling_deviation,0.01949277575732256
R_off,step_asymmetry_index,0.01514533538635886
R_off,pp_delay_200_peak1_amplitude,0.003973148313302215
R_off,pp_delay_200_peak2_amplitude,0.008022873843655055
R_off,pp_delay_200_time_to_peak1,0.0015980520903565055
R_off,pp_delay_200_time_to_peak2,0.005322559338432554
R_off,pp_delay_200_auc1,0.004148667067518165
R_off,pp_delay_200_auc2,0.008016241338626865
R_off,pp_delay_200_peak_width1,0.015348151069733786
R_off,pp_delay_200_peak_width2,0.015852792238143672
R_off,pp_delay_200_peak_ratio,0.004747727249217304
R_off,pp_delay_200_auc_ratio,0.012929738728011774
R_off,pp_delay_200_latency_change,0.006162796708615472
R_off,pp_delay_200_width_ratio,0.018830526796443647
R_off,pp_delay_200_baseline_shift,0.0113528139434823
R_off,pp_delay_200_recovery_fraction,0.013451890421498764
R_off,pp_delay_200_effective_ipi,0.005257794653060637
R_off,pp_delay_200_waveform_correlation,0.02358967795554262
R_off,pp_delay_200_total_response,0.0049171333746559085
R_off,pp_delay_200_facilitation_index,0.0032188036998207297
R_off,pp_delay_800_peak1_amplitude,0.003112756741482111
R_off,pp_delay_800_peak2_amplitude,0.009120720654983743
R_off,pp_delay_800_time_to_peak1,0.002990922800183678
R_off,pp_delay_800_time_to_peak2,0.005441098606526646
R_off,pp_delay_800_auc1,0.008140996383507055
R_off,pp_delay_800_auc2,0.007746117666332918
R_off,pp_delay_800_peak_width1,0.017366899483211847
R_off,pp_delay_800_peak_width2,0.011637381032313186
R_off,pp_delay_800_peak_ratio,0.0066598842720729055
R_off,pp_delay_800_auc_ratio,0.018194982333016533
R_off,pp_delay_800_latency_change,0.003390553021955236
R_off,pp_delay_800_width_ratio,0.022696647170170153
R_off,pp_delay_800_baseline_shift,0.01088997075442689
R_off,pp_delay_800_recovery_fraction,0.015377574643431764
R_off,pp_delay_800_effective_ipi,0.004180173364187903
R_off,pp_delay_800_waveform_correlation,0.019932783993539198
R_off,pp_delay_800_total_response,0.00848113377403396
R_off,pp_delay_800_facilitation_index,0.004463530569444576
R_off,pp_delay_2000_peak1_amplitude,0.003272289928342129
R_off,pp_delay_2000_peak2_amplitude,0.008646290305544603
